level_0,level_1,top_1,top_2,top_3,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
PMTREE,SELECTION,20,160,180,20.0,140.0,20.0,0.0,0.0,0.0,20.0,14.0,6.0,0.0,0.0,0.0
PMTREE,KMEDOIDS,160,177,186,160.0,17.0,9.0,29.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
SPBTREE,BPP,12,20,48,12.0,8.0,28.0,5.0,7.0,23.0,56.0,0.0,8.0,13.0,13.0,47.0
SPBTREE,CONVEX,0,20,20,0.0,20.0,0.0,27.0,9.0,4.0,0.0,20.0,20.0,12.0,91.0,17.0
SPBTREE,GNAT,0,20,38,0.0,20.0,18.0,2.0,5.0,15.0,12.0,19.0,21.0,60.0,45.0,3.0
SPBTREE,SSS,0,0,0,0.0,0.0,0.0,22.0,79.0,19.0,20.0,21.0,53.0,6.0,0.0,0.0
SPBTREE,MAXSEPARATED,0,0,8,0.0,0.0,8.0,4.0,6.0,40.0,3.0,44.0,39.0,16.0,0.0,60.0
SPBTREE,MAXVARIANCE,40,60,66,40.0,20.0,6.0,31.0,2.0,1.0,8.0,13.0,16.0,21.0,49.0,13.0
SPBTREE,PCA,20,43,70,20.0,23.0,27.0,25.0,25.0,40.0,0.0,9.0,16.0,15.0,0.0,20.0
SPBTREE,IS,28,77,102,28.0,49.0,25.0,31.0,67.0,0.0,16.0,2.0,2.0,0.0,0.0,0.0
SPBTREE,HFI,60,66,78,60.0,6.0,12.0,22.0,0.0,20.0,20.0,13.0,42.0,25.0,0.0,0.0
SPBTREE,WDR,23,56,77,23.0,33.0,21.0,3.0,1.0,21.0,42.0,41.0,1.0,12.0,22.0,0.0
SPBTREE,SELECTION,0,22,64,0.0,22.0,42.0,18.0,14.0,21.0,23.0,0.0,0.0,20.0,0.0,60.0
SPBTREE,KMEDOIDS,37,56,89,37.0,19.0,33.0,30.0,5.0,16.0,20.0,38.0,2.0,20.0,0.0,0.0
