EUCLIDEAN,IS,0.5,196559
p,time,count
5,840776805,147000
50,3404566245,2295000
100,11588913781,9090000
150,25099514003,20385000
200,44038115656,36180000
250,68403137633,56475000
300,98169002089,81270000
350,133323994677,110565000
400,173938690723,144360000
450,219965507507,182655000
500,271653841800,225450000
