EUCLIDEAN,WDR,0.5,495311
p,time,count
5,715159473,30300
50,2997323565,60300
100,32863806362,120300
150,151322358592,180300
200,459731960642,240300
250,1096013301933,300300
300,2237526824678,360300
350,4104575415234,420300
400,6973515117140,480300
450,11126897151788,540300
500,16896432874180,600300
