EUCLIDEAN,SSS,0.2,227720
p,time,count
5,137343798108,97993021
50,137348010339,97994326
100,137370533891,97998151
150,137412296346,98004476
200,137516118787,98013301
250,137486588588,98024626
300,137465550157,98038451
350,137371280614,98054776
400,137462225429,98073601
450,137473621311,98094926
500,137528181711,98118751
