EUCLIDEAN,BPP,0.01,30212
p,time,count
5,701718961,2500
50,1237055525,10000
100,6502710654,40000
150,19478109425,90000
200,43955202976,160000
250,85858534350,250000
300,151514440376,360000
350,251167224289,490000
400,385172869489,640000
450,539886683649,810000
500,755433969900,1000000
