EUCLIDEAN,GNAT,1,288308
p,time,count
5,3479561137,1469910
50,117853087408,92774475
100,454718653523,360221450
150,1019259817374,802160925
200,1812915113534,1418342900
250,2834582438239,2208517375
300,4081876908069,3172434350
350,5564768519030,14876529
400,7266230644444,1325528504
450,9196333563384,2809172979
500,11346489326466,170592658
