EUCLIDEAN,MAXVARIANCE,0.3,167304
p,time,count
5,367784781554,220500000
50,372879230187,220500000
100,365735020485,220500000
150,364974024346,220500000
200,365248819028,220500000
250,365115206588,220500000
300,365193788008,220500000
350,365250890550,220500000
400,364979311984,220500000
450,365079539147,220500000
500,365268899925,220500000
