EUCLIDEAN,RANDOM,1,94550
p,time,count
5,1563870706,0
50,1564101925,0
100,1552638630,0
150,1563372357,0
200,1557004424,0
250,1566968262,0
300,1561901890,0
350,1562199114,0
400,1567799186,0
450,1567702181,0
500,1573516377,0
