EUCLIDEAN,CONVEX,1,150604
p,time,count
5,3597946307,1539891
50,117979112095,92843151
100,457442324198,360286301
150,1023386390046,802219451
200,1818037604602,1418392601
250,2843176504025,2208555751
300,4104503157326,3172458901
350,5582461600100,14884755
400,7287255553933,1325517905
450,9223677705978,2809141055
500,11378194891156,170536909
