EUCLIDEAN,PCA,0.05,15369
p,time,count
5,151858698966,6123250
50,152313921329,6123250
100,151922151661,6123250
150,151884912771,6123250
200,151983547790,6123250
250,151965539420,6123250
300,151791242873,6123250
350,151890574241,6123250
400,152102750062,6123250
450,152223325778,6123250
500,152113567902,6123250
