EUCLIDEAN,MAXSEPARETED,1,70728
p,time,count
5,3485051267,1469910
50,117712827895,92774475
100,454412177511,360221450
150,1018096087960,802160925
200,1812450063497,1418342900
250,2836495103456,2208517375
300,4085286783999,3172434350
350,5566491300299,14876529
400,7323182959647,1325528504
450,9244138544162,2809172979
500,11413955365942,170592658
