EUCLIDEAN,SELECTION,0.3,482782
p,time,count
5,487383862,105000
50,16475864198,12862500
100,65913771515,51975000
150,149292696685,117337500
200,266978378085,208950000
250,419083663876,326812500
300,605126988080,470925000
350,825373660595,641287500
400,1079717601184,837900000
450,1365364695392,1060762500
500,1679324406452,1309875000
